Entry,Gene.names...primary..,Entry.name,Protein.names,Transmembrane,Passes,membrane,singlepass,multipass,GPI-anchored
P30443,HLA-A,1A01_HUMAN,"HLA class I histocompatibility antigen, A-1 alpha chain (MHC class I antigen A*1)",TRANSMEM 309 332 Helical. {ECO:0000255}.,1,+,+,NA,NA
A0A5B9,TRBC2,TRBC2_HUMAN,T-cell receptor beta-2 chain C region,TRANSMEM 145 167 Helical. {ECO:0000255}.,1,+,+,NA,NA
A0AVI2,FER1L5,FR1L5_HUMAN,Fer-1-like protein 5,TRANSMEM 1962 1982 Helical. {ECO:0000255}.,1,+,+,NA,NA
A0PJX4,SHISA3,SHSA3_HUMAN,Protein shisa-3 homolog,TRANSMEM 99 119 Helical. {ECO:0000255}.,1,+,+,NA,NA
A0PJZ3,GXYLT2,GXLT2_HUMAN,Glucoside xylosyltransferase 2 (EC 2.4.2.n2) (Glycosyltransferase 8 domain-containing protein 4),TRANSMEM 5 25 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
A0ZSE6,TMEM30CP,CC50C_HUMAN,Cell cycle control protein 50C (Transmembrane protein 30C),TRANSMEM 35 55 Helical. {ECO:0000255}.,1,+,+,NA,NA
A1L0T0,ILVBL,ILVBL_HUMAN,Acetolactate synthase-like protein (EC 2.2.1.-) (IlvB-like protein),TRANSMEM 13 33 Helical. {ECO:0000255}.,1,+,+,NA,NA
A1L1A6,IGSF23,IGS23_HUMAN,Immunoglobulin superfamily member 23,TRANSMEM 158 178 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2A2V5,SERTM1,SRTM1_HUMAN,Serine-rich and transmembrane domain-containing protein 1,TRANSMEM 43 63 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2A2Y4,FRMD3,FRMD3_HUMAN,FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O),TRANSMEM 531 551 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2RRL7,TMEM213,TM213_HUMAN,Transmembrane protein 213,TRANSMEM 71 91 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2RU48,SMCO3,SMCO3_HUMAN,Single-pass membrane and coiled-coil domain-containing protein 3,TRANSMEM 155 175 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2RU67,FAM234B,F234B_HUMAN,Protein FAM234B,TRANSMEM 104 124 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2RUT3,TMEM89,TMM89_HUMAN,Transmembrane protein 89,TRANSMEM 64 86 Helical. {ECO:0000255}.,1,+,+,NA,NA
A2VDJ0,TMEM131L,T131L_HUMAN,Transmembrane protein 131-like,TRANSMEM 870 890 Helical. {ECO:0000255}.,1,+,+,NA,NA
A4D0T2,C7orf66,CG066_HUMAN,Uncharacterized protein C7orf66,TRANSMEM 24 42 Helical. {ECO:0000255}.,1,+,+,NA,NA
A4D1S0,KLRG2,KLRG2_HUMAN,Killer cell lectin-like receptor subfamily G member 2 (C-type lectin domain family 15 member B),TRANSMEM 263 283 Helical. {ECO:0000255}.,1,+,+,NA,NA
A4D256,CDC14C,CC14C_HUMAN,Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C),TRANSMEM 522 544 Helical. {ECO:0000255}.,1,+,+,NA,NA
A4D2H0,CTAGE15,CTGEF_HUMAN,cTAGE family member 15 (Protein cTAGE-15),TRANSMEM 39 59 Helical. {ECO:0000255}.,1,+,+,NA,NA
A4FU28,CTAGE9,CTGE9_HUMAN,cTAGE family member 9 (Protein cTAGE-9),TRANSMEM 39 59 Helical. {ECO:0000255}.,1,+,+,NA,NA
A5PLK6,RGSL1,RGSL_HUMAN,Regulator of G-protein signaling protein-like,TRANSMEM 960 982 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6BM72,MEGF11,MEG11_HUMAN,Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11),TRANSMEM 849 869 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6H8M9,CDHR4,CDHR4_HUMAN,Cadherin-related family member 4 (Cadherin-like protein 29),TRANSMEM 687 707 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NC97,FAM172BP,F172B_HUMAN,Putative protein FAM172B (FAM172B pseudogene),TRANSMEM 229 245 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NCI5,LINC00862,SIM16_HUMAN,Putative transmembrane protein encoded by LINC00862 (Small integral membrane protein 16),TRANSMEM 49 69 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NCQ9,RNF222,RN222_HUMAN,RING finger protein 222,TRANSMEM 196 216 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NDA9,LRIT2,LRIT2_HUMAN,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 (Leucine-rich repeat-containing protein 22)",TRANSMEM 466 486 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NF34,ANTXRL,ANTRL_HUMAN,Anthrax toxin receptor-like,TRANSMEM 354 374 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NFA1,TRABD2B,TIKI2_HUMAN,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)",TRANSMEM 495 515 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NFE2,SMCO2,SMCO2_HUMAN,Single-pass membrane and coiled-coil domain-containing protein 2,TRANSMEM 284 304 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NFR6,C5orf60,CE060_HUMAN,Putative uncharacterized protein C5orf60,TRANSMEM 34 54 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NFU0,FAM187A,F187A_HUMAN,Ig-like V-type domain-containing protein FAM187A,TRANSMEM 377 397 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NGB0,TMEM191C,T191C_HUMAN,Transmembrane protein 191C,TRANSMEM 283 303 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NGU5,GGT3P,GGT3_HUMAN,Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain],TRANSMEM 5 26 Helical; Signal-anchor for type II membrane protein. {ECO:0000305}.,1,+,+,NA,NA
A6NGZ8,SMIM9,SMIM9_HUMAN,Small integral membrane protein 9,TRANSMEM 74 94 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NHS7,MANSC4,MANS4_HUMAN,MANSC domain-containing protein 4,TRANSMEM 285 305 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NI73,LILRA5,LIRA5_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),TRANSMEM 269 289 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NIL9,CRYM-AS1,CRAS1_HUMAN,Putative uncharacterized protein CRYM-AS1 (CRYM antisense RNA 1) (CRYM antisense gene protein 1),TRANSMEM 24 44 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NJW4,LRRC3C,LRR3C_HUMAN,Leucine-rich repeat-containing protein 3C,TRANSMEM 225 245 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NJW9,CD8B2,CD8B2_HUMAN,Putative T-cell surface glycoprotein CD8 beta-2 chain (CD8b pseudogene),TRANSMEM 172 192 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NKW6,FAM159B,F159B_HUMAN,Membrane protein FAM159B,TRANSMEM 65 85 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NL05,FAM74A7,F74A7_HUMAN,Protein FAM74A7,TRANSMEM 121 141 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NL88,SHISA7,SHSA7_HUMAN,Protein shisa-7 (Protein shisa-6-like),TRANSMEM 187 207 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NLE4,SMIM23,SIM23_HUMAN,Small integral membrane protein 23,TRANSMEM 37 53 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
A6NLU5,VSTM2B,VTM2B_HUMAN,V-set and transmembrane domain-containing protein 2B,TRANSMEM 264 284 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NLX4,TMEM210,TM210_HUMAN,Transmembrane protein 210,TRANSMEM 48 68 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NM11,LRRC37A2,L37A2_HUMAN,Leucine-rich repeat-containing protein 37A2,TRANSMEM 1583 1603 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NM62,LRRC53,LRC53_HUMAN,Leucine-rich repeat-containing protein 53,TRANSMEM 294 314 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NMB1,SIGLEC16,SIG16_HUMAN,Sialic acid-binding Ig-like lectin 16 (Siglec-16) (Siglec-P16),TRANSMEM 435 455 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6NMS7,LRRC37A,L37A1_HUMAN,Leucine-rich repeat-containing protein 37A,TRANSMEM 1583 1603 Helical. {ECO:0000255}.,1,+,+,NA,NA
A6QL63,BTBD11,BTBDB_HUMAN,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 (BTB/POZ domain-containing protein 11),TRANSMEM 168 188 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8CG34,POM121C,P121C_HUMAN,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),TRANSMEM 41 61 Helical. {ECO:0000255}.,1,+,+,NA,NA
