Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JURKAT-KO1	Peptides JURKAT-KO2	Peptides JURKAT-KO3	Peptides JURKAT-WT1	Peptides JURKAT-WT2	Peptides JURKAT-WT3	Razor + unique peptides JURKAT-KO1	Razor + unique peptides JURKAT-KO2	Razor + unique peptides JURKAT-KO3	Razor + unique peptides JURKAT-WT1	Razor + unique peptides JURKAT-WT2	Razor + unique peptides JURKAT-WT3	Unique peptides JURKAT-KO1	Unique peptides JURKAT-KO2	Unique peptides JURKAT-KO3	Unique peptides JURKAT-WT1	Unique peptides JURKAT-WT2	Unique peptides JURKAT-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JURKAT-KO1	Identification type JURKAT-KO2	Identification type JURKAT-KO3	Identification type JURKAT-WT1	Identification type JURKAT-WT2	Identification type JURKAT-WT3	Sequence coverage JURKAT-KO1 [%]	Sequence coverage JURKAT-KO2 [%]	Sequence coverage JURKAT-KO3 [%]	Sequence coverage JURKAT-WT1 [%]	Sequence coverage JURKAT-WT2 [%]	Sequence coverage JURKAT-WT3 [%]	Intensity	Intensity JURKAT-KO1	Intensity JURKAT-KO2	Intensity JURKAT-KO3	Intensity JURKAT-WT1	Intensity JURKAT-WT2	Intensity JURKAT-WT3	iBAQ	iBAQ JURKAT-KO1	iBAQ JURKAT-KO2	iBAQ JURKAT-KO3	iBAQ JURKAT-WT1	iBAQ JURKAT-WT2	iBAQ JURKAT-WT3	LFQ intensity JURKAT-KO1	LFQ intensity JURKAT-KO2	LFQ intensity JURKAT-KO3	LFQ intensity JURKAT-WT1	LFQ intensity JURKAT-WT2	LFQ intensity JURKAT-WT3	MS/MS Count JURKAT-KO1	MS/MS Count JURKAT-KO2	MS/MS Count JURKAT-KO3	MS/MS Count JURKAT-WT1	MS/MS Count JURKAT-WT2	MS/MS Count JURKAT-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000007350	CON__ENSEMBL:ENSBTAP00000007350	17	2	2	>ENSEMBL:ENSBTAP00000007350 (Bos taurus) similar to Complement C4-A precursor	1	17	2	2	17	12	10	14	11	10	2	2	1	2	2	2	2	2	1	2	2	2	12.5	2.5	2.5	192.99	1742	1742	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	12.5	10	8.4	11.4	9.4	8.3	42650000	10248000	5569900	460960	20584000	4061300	1725700	484660	116450	63295	5238.1	233910	46151	19610	13020000	3936500	0	26174000	2399300	1860600	4	2	0	3	1	0	10			+	0	61;301;839;1132;1164;1758;3817;4975;6088;6336;6896;8537;8976;9402;10552;11284;12074	False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False	61;303;847;1145;1178;1783;3865;5037;6165;6415;6983;8692;9137;9572;10739;11486;12284	315;316;317;318;319;320;1783;1784;1785;1786;1787;5154;5155;5156;5157;5158;5159;6906;6907;6908;6909;6910;6911;7093;10854;10855;10856;10857;10858;10859;23939;23940;23941;23942;23943;23944;31299;31300;31301;31302;31303;38480;40015;40016;40017;43544;53724;53725;53726;56691;56692;56693;56694;56695;56696;59413;59414;66542;66543;66544;66545;66546;71204;71205;71206;71207;71208;71209;76100;76101;76102;76103;76104;76105;76106;76107;76108;76109	317;318;2021;2022;5294;5295;5296;5297;5298;5299;5300;5301;5302;5303;5304;7083;7084;7274;11034;24622;24623;24624;24625;24626;32431;32432;32433;32434;32435;32436;32437;32438;39939;41592;45299;55057;55058;55059;58120;58121;58122;61076;68416;68417;68418;73413;73414;73415;73416;78507;78508;78509	317;2021;5296;7084;7274;11034;24623;32431;39939;41592;45299;55059;58120;61076;68417;73416;78508		
CON__ENSEMBL:ENSBTAP00000018229;CON__Q3MHN5	CON__ENSEMBL:ENSBTAP00000018229;CON__Q3MHN5	4;3	4;3	4;3	>ENSEMBL:ENSBTAP00000018229 (Bos taurus) 54 kDa protein;>Q3MHN5 SWISS-PROT:Q3MHN5 (Bos taurus) Vitamin D-binding protein precursor	2	4	4	4	4	2	2	3	2	2	4	2	2	3	2	2	4	2	2	3	2	2	9.1	9.1	9.1	53.661	475	475;474	0	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	9.1	4	4	7.6	4	4	40500000	24881000	2051100	1246700	10570000	1084100	667100	1557700	956960	78888	47949	406540	41697	25658	10764000	4391500	3146900	23535000	3303900	2764600	5	1	0	4	0	0	10			+	1	3627;4903;5047;11673	True;True;True;True	3672;4964;5112;11878	22802;22803;30880;31720;31721;31722;31723;31724;31725;73636;73637;73638;73639;73640;73641	23383;23384;23385;23386;23387;31990;32928;76078;76079;76080	23387;31990;32928;76078		
CON__ENSEMBL:ENSBTAP00000018574	CON__ENSEMBL:ENSBTAP00000018574	4	4	4	>ENSEMBL:ENSBTAP00000018574 (Bos taurus) 55 kDa protein	1	4	4	4	4	3	2	4	4	2	4	3	2	4	4	2	4	3	2	4	4	2	7.9	7.9	7.9	55.207	496	496	0	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	7.9	6	3.6	7.9	7.9	3.4	26417000	12929000	1629100	1609900	7534700	2266500	448180	1056700	517170	65162	64395	301390	90660	17927	16903000	2517400	2140600	6546500	1989500	0	4	1	0	3	0	0	8			+	2	1889;2665;10040;10553	True;True;True;True	1914;2700;10220;10740	11701;11702;11703;11704;11705;11706;16713;16714;16715;16716;16717;63423;63424;63425;63426;66547;66548;66549;66550	11920;16990;65214;65215;65216;68419;68420;68421	11920;16990;65215;68419		
CON__ENSEMBL:ENSBTAP00000024146;sp|P01023|A2MG_HUMAN	CON__ENSEMBL:ENSBTAP00000024146	18;2	18;2	18;2	>ENSEMBL:ENSBTAP00000024146 (Bos taurus) similar to alpha-2-macroglobulin isoform 1	2	18	18	18	18	12	6	17	7	7	18	12	6	17	7	7	18	12	6	17	7	7	13.6	13.6	13.6	164.34	1477	1477;1474	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.6	10.1	4.9	12.9	4.9	5	210140000	102630000	16047000	4847500	78792000	4899600	2926000	2801800	1368300	213960	64633	1050600	65328	39013	119230000	20951000	6506600	76391000	12160000	6766900	20	4	1	15	2	1	43			+	3	700;1817;3306;3365;3865;5086;6734;6869;7097;7098;7705;9645;10783;11470;11757;12020;12472;12473	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	706;1842;3350;3409;3913;5151;6815;6955;7187;7188;7842;9820;10976;11673;11963;12229;12683;12684	4280;4281;4282;4283;11262;11263;11264;20715;20716;20717;20718;20719;21050;21051;21052;21053;24263;24264;24265;24266;24267;31992;31993;31994;31995;31996;31997;42518;42519;43384;43385;43386;43387;44811;44812;44813;44814;44815;44816;44817;48627;48628;48629;48630;48631;60887;60888;67994;72360;72361;72362;74151;74152;74153;74154;74155;74156;75776;75777;78563;78564;78565;78566;78567;78568;78569;78570;78571;78572	4545;4546;4547;11498;11499;21070;21405;25015;33454;33455;33456;33457;33458;33459;33460;44175;45091;45092;45093;45094;46453;46454;46455;50197;50198;50199;50200;62476;69884;74806;74807;76581;76582;78263;78264;81165;81166;81167;81168;81169;81170;81171;81172;81173;81174;81175	4545;11498;21070;21405;25015;33459;44175;45091;46453;46454;50200;62476;69884;74807;76581;78263;81171;81175		
CON__ENSEMBL:ENSBTAP00000025008;sp|Q9H4B7|TBB1_HUMAN	CON__ENSEMBL:ENSBTAP00000025008;sp|Q9H4B7|TBB1_HUMAN	6;4	2;0	2;0	>ENSEMBL:ENSBTAP00000025008 (Bos taurus) hypothetical protein;>sp|Q9H4B7|TBB1_HUMAN Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1	2	6	2	2	6	4	4	4	4	4	2	0	0	0	0	0	2	0	0	0	0	0	9.7	4.3	4.3	59.299	536	536;451	0	By MS/MS	By matching	By matching	By matching	By matching	By matching	9.7	5.4	5.4	5.4	5.4	5.4	1694000	1694000	0	0	0	0	0	73651	73651	0	0	0	0	0	2145700	0	0	0	0	0	2	0	0	0	0	0	2			+	4	2575;3038;3039;5141;5223;5914	True;False;False;False;True;False	2609;3079;3080;5206;5292;5991	16152;19017;19018;19019;19020;19021;19022;19023;19024;19025;19026;19027;19028;19029;19030;19031;19032;19033;19034;19035;19036;32325;32326;32327;32328;32329;32330;32331;32332;32333;32334;32335;32336;32337;32860;37465;37466;37467;37468;37469;37470;37471;37472;37473;37474;37475;37476	16437;19372;19373;19374;19375;19376;19377;19378;19379;19380;19381;19382;19383;19384;19385;19386;19387;19388;19389;19390;19391;19392;19393;19394;19395;19396;19397;19398;19399;19400;19401;19402;19403;19404;19405;19406;19407;19408;19409;19410;19411;19412;19413;19414;19415;19416;19417;19418;19419;19420;19421;19422;19423;19424;19425;19426;19427;19428;19429;19430;19431;19432;19433;19434;19435;19436;19437;19438;19439;19440;19441;19442;19443;19444;19445;19446;19447;19448;19449;19450;19451;19452;19453;19454;19455;19456;19457;19458;19459;19460;19461;19462;19463;19464;19465;19466;19467;19468;19469;19470;33729;33730;33731;33732;33733;33734;33735;33736;33737;33738;33739;33740;33741;33742;33743;33744;33745;33746;33747;33748;33749;33750;33751;33752;33753;33754;33755;33756;34259;38966;38967;38968;38969;38970;38971;38972;38973;38974;38975;38976;38977;38978;38979;38980;38981;38982;38983;38984;38985;38986	16437;19401;19468;33736;34259;38986	0	343
CON__ENSEMBL:ENSBTAP00000032840	CON__ENSEMBL:ENSBTAP00000032840	4	4	4	>ENSEMBL:ENSBTAP00000032840 (Bos taurus) similar to apolipoprotein B, partial	1	4	4	4	1	3	2	2	3	4	1	3	2	2	3	4	1	3	2	2	3	4	5.2	5.2	5.2	92.273	825	825	0	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	0.8	4	2.4	2.4	3.6	5.2	18577000	1126900	4004000	1809200	2065900	6644100	2926500	371530	22539	80079	36184	41319	132880	58531	0	5250900	2617900	2836300	7682600	2295300	0	2	0	1	3	0	6			+	5	5915;6417;9452;9967	True;True;True;True	5992;6497;9623;10147	37477;37478;37479;37480;37481;37482;40534;40535;59717;59718;59719;59720;59721;62981;62982	38987;42082;61365;61366;61367;64762	38987;42082;61366;64762		
CON__ENSEMBL:ENSBTAP00000034412	CON__ENSEMBL:ENSBTAP00000034412	4	4	4	>ENSEMBL:ENSBTAP00000034412 (Bos taurus) similar to C4b-binding protein alpha chain	1	4	4	4	4	4	3	4	4	3	4	4	3	4	4	3	4	4	3	4	4	3	17.6	17.6	17.6	22.336	199	199	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.6	17.6	14.1	17.6	17.6	14.1	1151800000	333330000	92048000	84611000	444350000	91790000	105670000	88601000	25641000	7080600	6508500	34181000	7060800	8128600	419630000	118800000	85277000	388040000	115920000	169530000	11	7	7	15	9	7	56			+	6	1757;4169;7127;11127	True;True;True;True	1782;4225;7217;11329	10842;10843;10844;10845;10846;10847;10848;10849;10850;10851;10852;10853;26162;26163;26164;26165;26166;26167;26168;26169;26170;26171;26172;26173;26174;26175;26176;26177;26178;45004;45005;45006;45007;45008;70184;70185;70186;70187;70188;70189	11012;11013;11014;11015;11016;11017;11018;11019;11020;11021;11022;11023;11024;11025;11026;11027;11028;11029;11030;11031;11032;11033;26861;26862;26863;26864;26865;26866;26867;26868;26869;26870;26871;26872;26873;26874;26875;26876;26877;26878;26879;26880;26881;26882;26883;26884;26885;46676;46677;46678;46679;46680;46681;46682;72243;72244	11025;26877;46681;72244		
CON__ENSEMBL:ENSBTAP00000037665	CON__ENSEMBL:ENSBTAP00000037665	11	11	11	>ENSEMBL:ENSBTAP00000037665 (Bos taurus) similar to Pregnancy zone protein, partial	1	11	11	11	11	10	5	11	9	7	11	10	5	11	9	7	11	10	5	11	9	7	23.7	23.7	23.7	65.19	578	578	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	23.7	21.3	10.7	23.7	17.3	16.1	330720000	123890000	24265000	6753300	153230000	18068000	4520200	11812000	4424800	866600	241190	5472300	645270	161430	164160000	30660000	7039700	137860000	24310000	9011300	20	5	0	20	8	0	53			+	7	332;3691;3874;4593;6930;7937;8690;10611;11979;12215;12216	True;True;True;True;True;True;True;True;True;True;True	334;3737;3922;4651;7018;8079;8846;10801;12188;12426;12427	1954;1955;1956;1957;1958;1959;23178;23179;23180;23181;23182;23183;24314;24315;28929;28930;28931;28932;28933;43750;43751;43752;43753;43754;50093;50094;50095;50096;50097;50098;54742;54743;54744;54745;54746;54747;54748;66889;66890;66891;66892;66893;75500;75501;75502;75503;75504;77002;77003;77004;77005;77006;77007;77008;77009;77010;77011	2184;2185;2186;2187;2188;23779;25058;25059;25060;25061;29937;45500;45501;45502;45503;51520;56081;56082;56083;56084;56085;56086;56087;56088;68810;68811;68812;68813;68814;68815;68816;68817;68818;68819;77963;77964;77965;77966;77967;77968;79452;79453;79454;79455;79456;79457;79458;79459;79460;79461;79462;79463;79464	2187;23779;25059;29937;45503;51520;56082;68812;77963;79453;79463		
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	14	1	0	>ENSEMBL:ENSBTAP00000038253 (Bos taurus) 63 kDa protein	1	14	1	0	14	13	14	13	13	13	1	1	1	1	1	1	0	0	0	0	0	0	14.2	1.7	0	63.165	606	606	0.00338	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	14.2	14.2	14.2	14.2	14.2	14.2	11579000	1870900	2195800	983390	2222600	3143300	1163300	361860	58467	68620	30731	69457	98229	36354	0	0	0	0	0	1648100	2	2	0	2	1	1	8			+	8	252;966;1903;2962;5746;5747;6711;9132;9554;9555;10584;11990;12402;12403	True;False;False;False;False;False;False;False;False;False;False;False;False;False	254;976;1928;3002;5820;5821;6791;6792;9295;9727;9728;10772;12199;12613;12614	1474;1475;1476;1477;1478;1479;5912;5913;5914;5915;5916;5917;11868;11869;11870;11871;11872;11873;11874;11875;11876;11877;18542;18543;18544;18545;18546;18547;18548;18549;18550;18551;18552;18553;18554;18555;36395;36396;36397;36398;36399;36400;36401;36402;36403;36404;42368;42369;42370;42371;42372;42373;42374;42375;42376;42377;42378;42379;42380;42381;42382;42383;42384;42385;42386;42387;42388;42389;42390;57741;57742;57743;57744;57745;57746;57747;57748;57749;57750;57751;57752;57753;57754;57755;60336;60337;60338;60339;60340;60341;60342;60343;60344;60345;60346;60347;66725;66726;66727;66728;66729;66730;75564;75565;75566;75567;75568;75569;78118;78119;78120;78121;78122;78123;78124;78125;78126;78127;78128;78129;78130;78131;78132;78133;78134;78135;78136;78137	1556;1557;1558;1559;1560;1561;1562;1563;6114;6115;6116;6117;6118;6119;6120;6121;6122;6123;6124;6125;6126;6127;6128;6129;6130;6131;6132;6133;6134;6135;6136;12059;12060;12061;12062;12063;12064;12065;12066;12067;12068;18937;18938;18939;18940;18941;18942;18943;18944;18945;18946;18947;18948;18949;18950;18951;18952;18953;18954;18955;18956;18957;18958;18959;18960;18961;18962;37772;37773;37774;37775;37776;37777;37778;37779;37780;37781;44060;44061;44062;44063;44064;44065;44066;44067;44068;44069;44070;44071;44072;44073;44074;44075;44076;44077;44078;59193;59194;59195;59196;59197;59198;59199;59200;59201;59202;59203;59204;59205;59206;59207;59208;59209;59210;59211;59212;59213;59214;59215;59216;59217;59218;59219;59220;59221;59222;61914;61915;61916;61917;61918;61919;61920;61921;61922;61923;61924;61925;61926;61927;61928;61929;61930;61931;68631;68632;68633;68634;68635;68636;68637;68638;68639;68640;68641;68642;68643;68644;68645;68646;68647;68648;68649;68650;68651;68652;68653;68654;68655;68656;68657;68658;68659;68660;68661;68662;68663;68664;68665;68666;68667;68668;68669;68670;68671;68672;68673;68674;68675;68676;68677;68678;68679;68680;68681;68682;68683;78017;78018;80535;80536;80537;80538;80539;80540;80541;80542;80543;80544;80545;80546;80547;80548;80549;80550;80551;80552;80553;80554;80555;80556;80557;80558;80559;80560;80561;80562;80563;80564;80565;80566;80567;80568;80569	1556;6121;12060;18938;37774;37781;44067;59195;61918;61926;68637;78017;80538;80554	1	465
CON__P00735;sp|P00734|THRB_HUMAN	CON__P00735	10;1	10;1	10;1	>P00735 SWISS-PROT:P00735 (Bos taurus) Prothrombin precursor (Fragment)	2	10	10	10	10	8	7	9	9	6	10	8	7	9	9	6	10	8	7	9	9	6	18.6	18.6	18.6	70.505	625	625;622	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.6	13.8	12.5	15.2	15.2	9.8	434180000	186130000	56817000	14097000	133950000	29441000	13743000	13568000	5816700	1775500	440540	4185900	920040	429470	239940000	64938000	21046000	116880000	35571000	24213000	18	9	1	14	4	2	48			+	9	2416;5918;6629;8844;9324;10330;10814;12139;12486;12657	True;True;True;True;True;True;True;True;True;True	2448;5995;6709;9005;9492;10514;11007;12350;12697;12871	15136;15137;15138;15139;15140;15141;37495;37496;37497;37498;37499;37500;37501;37502;41862;41863;41864;41865;41866;41867;55789;55790;55791;55792;55793;58925;65145;65146;65147;65148;65149;65150;68176;68177;68178;68179;68180;68181;76504;76505;76506;76507;78634;78635;78636;79734;79735;79736;79737;79738;79739	15349;15350;15351;15352;15353;15354;38990;38991;38992;38993;38994;38995;38996;43496;43497;43498;43499;43500;43501;43502;43503;43504;43505;43506;43507;43508;57115;57116;60563;67135;70069;78916;78917;78918;78919;78920;78921;78922;78923;78924;78925;78926;81219;81220;81221;82377;82378;82379	15353;38994;43506;57116;60563;67135;70069;78920;81220;82377		
