Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JEKO-KO1	Peptides JEKO-KO2	Peptides JEKO-KO3	Peptides JEKO-WT1	Peptides JEKO-WT2	Peptides JEKO-WT3	Razor + unique peptides JEKO-KO1	Razor + unique peptides JEKO-KO2	Razor + unique peptides JEKO-KO3	Razor + unique peptides JEKO-WT1	Razor + unique peptides JEKO-WT2	Razor + unique peptides JEKO-WT3	Unique peptides JEKO-KO1	Unique peptides JEKO-KO2	Unique peptides JEKO-KO3	Unique peptides JEKO-WT1	Unique peptides JEKO-WT2	Unique peptides JEKO-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JEKO-KO1	Identification type JEKO-KO2	Identification type JEKO-KO3	Identification type JEKO-WT1	Identification type JEKO-WT2	Identification type JEKO-WT3	Sequence coverage JEKO-KO1 [%]	Sequence coverage JEKO-KO2 [%]	Sequence coverage JEKO-KO3 [%]	Sequence coverage JEKO-WT1 [%]	Sequence coverage JEKO-WT2 [%]	Sequence coverage JEKO-WT3 [%]	Intensity	Intensity JEKO-KO1	Intensity JEKO-KO2	Intensity JEKO-KO3	Intensity JEKO-WT1	Intensity JEKO-WT2	Intensity JEKO-WT3	iBAQ	iBAQ JEKO-KO1	iBAQ JEKO-KO2	iBAQ JEKO-KO3	iBAQ JEKO-WT1	iBAQ JEKO-WT2	iBAQ JEKO-WT3	LFQ intensity JEKO-KO1	LFQ intensity JEKO-KO2	LFQ intensity JEKO-KO3	LFQ intensity JEKO-WT1	LFQ intensity JEKO-WT2	LFQ intensity JEKO-WT3	MS/MS Count JEKO-KO1	MS/MS Count JEKO-KO2	MS/MS Count JEKO-KO3	MS/MS Count JEKO-WT1	MS/MS Count JEKO-WT2	MS/MS Count JEKO-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2A5Y0	CON__A2A5Y0	8	1	1	>A2A5Y0 TREMBL:A2A5Y0 Tax_Id=10090 Gene_Symbol=Krt31 keratin complex 1, acidic, gene 1	1	8	1	1	6	4	4	3	8	7	1	1	0	0	1	1	1	1	0	0	1	1	19	1.9	1.9	47.117	416	416	1	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	12.7	7.7	7.9	5.8	19	16.3	16742000	2517300	1217700	0	0	8258800	4748600	620090	93233	45101	0	0	305880	175870	0	0	0	0	0	3620400	2	0	0	0	2	2	6	+		+	0	4720;10259;11995;12939;15245;16562;18913;22198	False;False;False;False;False;False;False;True	4855;4856;10535;12297;13263;15752;17106;19525;22901	28685;28686;28687;28688;28689;28690;28691;28692;28693;28694;28695;28696;28697;28698;63343;63344;63345;63346;63347;63348;63349;63350;63351;63352;63353;63354;63355;63356;63357;63358;63359;63360;63361;73999;74000;79696;79697;79698;79699;79700;79701;79702;79703;94397;94398;94399;102974;117394;117395;117396;117397;117398;117399;137608;137609;137610;137611	27574;27575;27576;27577;27578;27579;27580;27581;27582;27583;27584;27585;27586;27587;27588;61896;61897;61898;61899;61900;61901;61902;61903;61904;61905;61906;61907;61908;61909;61910;61911;61912;61913;61914;61915;61916;61917;61918;61919;61920;61921;61922;61923;61924;61925;61926;61927;61928;61929;61930;61931;61932;61933;61934;61935;61936;61937;61938;61939;61940;61941;61942;61943;61944;61945;61946;61947;61948;61949;61950;61951;61952;61953;61954;61955;61956;61957;61958;61959;61960;61961;61962;61963;61964;61965;61966;61967;61968;72484;77997;77998;77999;78000;78001;78002;78003;78004;78005;78006;78007;78008;92018;92019;100336;114981;114982;114983;114984;114985;114986;114987;114988;114989;135365;135366;135367;135368;135369;135370;135371	27586;61906;72484;78002;92018;100336;114987;135368	0	60
CON__ENSEMBL:ENSBTAP00000007350;sp|P0C0L4|CO4A_HUMAN	CON__ENSEMBL:ENSBTAP00000007350	12;1	12;1	2;0	>ENSEMBL:ENSBTAP00000007350 (Bos taurus) similar to Complement C4-A precursor	2	12	12	2	12	10	11	12	11	10	12	10	11	12	11	10	2	2	2	2	2	1	7.5	7.5	1.5	192.99	1742	1742;1744	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.5	6.5	6.9	7.5	6.9	6.3	159220000	39426000	22759000	19386000	21778000	27521000	28349000	1809300	448020	258630	220290	247470	312730	322150	38547000	19862000	17416000	25380000	22801000	18528000	11	8	4	9	7	5	44			+	1	114;509;1424;1926;2607;3080;3163;6932;8887;11193;16298;21508	True;True;True;True;True;True;True;True;True;True;True;True	116;518;1465;1983;2683;3174;3257;7133;9132;11477;16833;22194	632;633;634;635;636;637;638;639;2908;2909;2910;2911;2912;2913;8557;8558;8559;8560;8561;8562;11669;11670;11671;11672;11673;11674;15778;15779;18706;18707;18708;18709;18710;18711;19172;19173;19174;19175;19176;19177;42379;42380;42381;42382;42383;42384;54534;54535;54536;54537;54538;54539;68937;68938;68939;68940;68941;68942;101350;101351;101352;101353;101354;133431;133432;133433;133434;133435;133436;133437;133438;133439;133440	574;575;576;2854;2855;2856;2857;2858;2859;8119;8120;8121;8122;8123;8124;8125;8126;8127;8128;8129;11256;15285;18035;18430;41218;41219;41220;41221;41222;53230;53231;53232;53233;53234;67456;67457;67458;67459;67460;67461;67462;98790;98791;131156;131157;131158	575;2855;8122;11256;15285;18035;18430;41219;53230;67460;98790;131157	1	1218
CON__ENSEMBL:ENSBTAP00000031900	CON__ENSEMBL:ENSBTAP00000031900	2	2	2	>ENSEMBL:ENSBTAP00000031900 (Bos taurus) 121 kDa protein	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2.6	2.6	2.6	121.45	1064	1064	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.4	2.6	2.6	2.6	2.6	2.6	4780300	342180	789080	797480	939840	1156200	755530	93731	6709.4	15472	15637	18428	22670	14814	0	627580	805430	887130	847750	574030	1	1	1	1	2	2	8			+	2	116;18648	True;True	118;19246	646;647;648;649;650;115679;115680;115681;115682;115683;115684	581;582;113131;113132;113133;113134;113135;113136	582;113132		
CON__ENSEMBL:ENSBTAP00000034412	CON__ENSEMBL:ENSBTAP00000034412	6	6	6	>ENSEMBL:ENSBTAP00000034412 (Bos taurus) similar to C4b-binding protein alpha chain	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	24.1	24.1	24.1	22.336	199	199	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.1	24.1	24.1	24.1	24.1	24.1	1183100000	299650000	211390000	115880000	143840000	180520000	231840000	91009000	23050000	16261000	8913900	11064000	13886000	17834000	261210000	161040000	138550000	150950000	145020000	192080000	16	15	12	15	12	14	84			+	3	3079;5851;7525;12447;12533;19969	True;True;True;True;True;True	3173;6027;7741;12760;12846;20611	18694;18695;18696;18697;18698;18699;18700;18701;18702;18703;18704;18705;35686;35687;35688;35689;35690;35691;46011;46012;46013;46014;46015;46016;46017;46018;46019;46020;46021;46022;46023;76810;76811;76812;76813;76814;76815;77273;77274;77275;77276;77277;77278;123885;123886;123887;123888;123889;123890	18011;18012;18013;18014;18015;18016;18017;18018;18019;18020;18021;18022;18023;18024;18025;18026;18027;18028;18029;18030;18031;18032;18033;18034;34650;34651;34652;34653;34654;34655;34656;34657;34658;34659;34660;34661;34662;34663;34664;44836;44837;44838;44839;44840;44841;44842;44843;44844;44845;44846;44847;44848;44849;44850;44851;44852;44853;44854;44855;44856;44857;44858;44859;44860;44861;44862;44863;44864;44865;75186;75187;75188;75189;75190;75191;75192;75193;75194;75195;75698;121584;121585;121586;121587	18012;34658;44860;75195;75698;121587		
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	16	3	2	>ENSEMBL:ENSBTAP00000038253 (Bos taurus) 63 kDa protein	1	16	3	2	16	15	16	16	16	15	3	2	3	3	3	2	2	1	2	2	2	1	18	6.9	5.3	63.165	606	606	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18	16.2	18	18	18	16.2	26415000	2987900	4797300	4050500	4777200	4144900	5657200	825470	93371	149910	126580	149290	129530	176790	3444700	7022000	6372900	2361100	1550800	2201900	4	3	3	3	2	2	17			+	4	424;1630;3384;5388;10239;10240;11748;14112;14575;16587;17334;17335;19101;21365;22144;22145	True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False	431;1676;3482;3483;5547;10515;10516;12041;12042;14568;15062;17134;17899;17900;19720;22049;22846;22847	2437;2438;2439;2440;2441;2442;9826;9827;9828;9829;9830;9831;20584;20585;20586;20587;20588;20589;20590;20591;20592;20593;20594;20595;20596;20597;20598;20599;20600;20601;20602;32894;32895;32896;32897;32898;32899;32900;32901;32902;32903;32904;32905;32906;63174;63175;63176;63177;63178;63179;63180;63181;63182;63183;63184;63185;63186;63187;63188;63189;63190;63191;63192;72407;72408;72409;72410;72411;72412;72413;72414;72415;72416;72417;72418;72419;72420;72421;72422;72423;72424;72425;72426;72427;72428;72429;72430;72431;72432;72433;72434;72435;72436;72437;72438;72439;72440;72441;72442;87425;87426;87427;87428;87429;87430;90400;90401;90402;90403;103164;103165;103166;103167;103168;103169;103170;103171;103172;103173;103174;103175;103176;103177;103178;107731;107732;107733;107734;107735;107736;107737;107738;107739;107740;107741;107742;107743;107744;107745;107746;107747;107748;107749;118533;118534;118535;118536;118537;118538;118539;118540;132556;132557;132558;132559;132560;132561;137231;137232;137233;137234;137235;137236;137237;137238;137239;137240;137241;137242;137243;137244;137245;137246;137247;137248;137249;137250	2269;2270;2271;2272;2273;2274;2275;2276;2277;2278;2279;2280;2281;9401;9402;9403;9404;9405;9406;9407;9408;9409;9410;9411;9412;9413;9414;9415;9416;9417;9418;9419;9420;9421;9422;9423;9424;9425;19673;19674;19675;19676;19677;19678;19679;19680;19681;19682;19683;19684;19685;19686;19687;19688;19689;19690;19691;19692;19693;19694;19695;19696;19697;19698;19699;19700;19701;19702;19703;19704;19705;19706;19707;19708;19709;19710;19711;19712;19713;19714;19715;31964;31965;31966;31967;31968;31969;31970;31971;31972;31973;31974;31975;31976;31977;31978;31979;31980;31981;31982;31983;31984;31985;31986;31987;31988;31989;31990;31991;31992;31993;31994;31995;31996;31997;31998;31999;32000;32001;32002;32003;32004;32005;32006;32007;32008;32009;32010;32011;32012;32013;32014;32015;32016;32017;32018;32019;32020;61714;61715;61716;61717;61718;61719;61720;61721;61722;61723;61724;61725;61726;61727;61728;61729;61730;61731;61732;61733;61734;61735;61736;61737;61738;61739;61740;70883;70884;70885;70886;70887;70888;70889;70890;70891;70892;70893;70894;70895;70896;70897;70898;70899;70900;70901;70902;70903;70904;70905;70906;70907;70908;70909;70910;70911;70912;70913;70914;70915;70916;70917;70918;70919;70920;70921;70922;70923;70924;70925;70926;70927;70928;70929;70930;70931;70932;70933;70934;70935;70936;70937;85135;85136;85137;88125;100534;100535;100536;100537;100538;100539;100540;100541;100542;100543;100544;100545;100546;100547;100548;100549;100550;100551;100552;100553;100554;100555;100556;100557;100558;100559;100560;100561;100562;100563;105060;105061;105062;105063;105064;105065;105066;105067;105068;105069;105070;105071;105072;105073;105074;105075;105076;105077;105078;105079;105080;105081;105082;105083;105084;105085;105086;105087;105088;105089;105090;105091;105092;105093;105094;105095;105096;105097;116109;116110;116111;116112;116113;116114;116115;116116;116117;116118;116119;116120;116121;116122;116123;116124;116125;116126;116127;116128;116129;116130;116131;116132;116133;116134;116135;116136;116137;116138;116139;116140;116141;116142;116143;116144;116145;116146;116147;116148;116149;116150;116151;116152;116153;116154;116155;116156;130295;130296;130297;130298;130299;134819;134820;134821;134822;134823;134824;134825;134826;134827;134828;134829;134830;134831;134832;134833;134834;134835;134836;134837;134838;134839;134840;134841;134842;134843;134844;134845;134846;134847;134848;134849;134850;134851;134852;134853;134854	2270;9410;19707;31965;61715;61732;70915;85136;88125;100552;105061;105082;116111;130297;134828;134832	2	465
sp|O76009|KT33A_HUMAN;CON__Q6NTB9;CON__O76009;CON__Q8IUT8;CON__O76011;sp|O76011|KRT34_HUMAN	sp|O76009|KT33A_HUMAN;CON__Q6NTB9;CON__O76009;CON__Q8IUT8;CON__O76011;sp|O76011|KRT34_HUMAN	10;10;10;6;5;5	2;2;2;1;1;1	0;0;0;0;0;0	>sp|O76009|KT33A_HUMAN Keratin, type I cuticular Ha3-I OS=Homo sapiens GN=KRT33A PE=2 SV=2;>Q6NTB9 TREMBL:Q6NTB9 Type I hair keratin 3A - Homo sapiens (Human).;>O76009 SWISS-PROT:O76009 Keratin, type I cuticular HA3-I (Hair keratin, type I HA3-I);>Q8IUT8 T	6	10	2	0	6	4	6	3	9	8	2	0	1	1	2	2	0	0	0	0	0	0	28.5	4.5	0	45.94	404	404;404;404;436;394;436	0.00045475	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	13.9	8.9	12.9	5.9	25.5	22.8	37088000	6168000	0	112070	486970	15532000	14789000	1324600	220290	0	4002.6	17392	554700	528180	6251000	0	0	0	12903000	10182000	3	0	0	0	4	4	11			+	5	4720;10456;10480;12939;15232;15246;16562;17791;18913;19749	False;True;False;False;True;False;False;False;False;False	4855;4856;10732;10756;13263;15739;15753;17106;18370;19525;20384	28685;28686;28687;28688;28689;28690;28691;28692;28693;28694;28695;28696;28697;28698;64527;64528;64529;64530;64531;64656;64657;64658;64659;79696;79697;79698;79699;79700;79701;79702;79703;94312;94313;94314;94315;94316;94317;94400;94401;102974;110468;110469;110470;117394;117395;117396;117397;117398;117399;122507;122508	27574;27575;27576;27577;27578;27579;27580;27581;27582;27583;27584;27585;27586;27587;27588;63083;63084;63085;63086;63087;63266;63267;63268;63269;63270;63271;63272;63273;63274;63275;77997;77998;77999;78000;78001;78002;78003;78004;78005;78006;78007;78008;91937;91938;91939;91940;91941;91942;92020;92021;100336;107655;114981;114982;114983;114984;114985;114986;114987;114988;114989;120172	27586;63084;63268;78002;91939;92020;100336;107655;114987;120172	0	60
sp|O76013|KRT36_HUMAN;CON__O76013	sp|O76013|KRT36_HUMAN;CON__O76013	6;6	3;3	3;3	>sp|O76013|KRT36_HUMAN Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=2 SV=1;>O76013 SWISS-PROT:O76013 Keratin, type I cuticular HA6 (Hair keratin, type I HA6)	2	6	3	3	6	4	5	4	6	6	3	3	3	2	3	3	3	3	3	2	3	3	10.5	4.5	4.5	52.247	467	467;467	0	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	10.5	6	7.9	6	10.5	10.5	95610000	11411000	3182600	2095200	1448200	45978000	31495000	3541100	422640	117870	77599	53639	1702900	1166500	11819000	940680	977280	867030	36534000	24774000	3	0	0	0	8	5	16			+	6	4402;4720;10259;12838;15128;15245	True;False;False;True;True;False	4526;4855;4856;10535;13159;15630;15752	26794;26795;26796;26797;26798;26799;28685;28686;28687;28688;28689;28690;28691;28692;28693;28694;28695;28696;28697;28698;63343;63344;63345;63346;63347;63348;63349;63350;63351;63352;63353;63354;63355;63356;63357;63358;63359;63360;63361;79122;79123;79124;79125;79126;93671;93672;93673;93674;93675;93676;93677;93678;93679;94397;94398;94399	25780;25781;25782;25783;27574;27575;27576;27577;27578;27579;27580;27581;27582;27583;27584;27585;27586;27587;27588;61896;61897;61898;61899;61900;61901;61902;61903;61904;61905;61906;61907;61908;61909;61910;61911;61912;61913;61914;61915;61916;61917;61918;61919;61920;61921;61922;61923;61924;61925;61926;61927;61928;61929;61930;61931;61932;61933;61934;61935;61936;61937;61938;61939;61940;61941;61942;61943;61944;61945;61946;61947;61948;61949;61950;61951;61952;61953;61954;61955;61956;61957;61958;61959;61960;61961;61962;61963;61964;61965;61966;61967;61968;77384;77385;77386;77387;91317;91318;91319;91320;91321;91322;91323;91324;92018;92019	25782;27586;61906;77386;91318;92018	0	97
sp|O95678|K2C75_HUMAN;CON__O95678	sp|O95678|K2C75_HUMAN;CON__O95678	16;16	2;2	2;2	>sp|O95678|K2C75_HUMAN Keratin, type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2;>O95678 SWISS-PROT:O95678 Tax_Id=9606 Gene_Symbol=KRT75 Keratin, type II cytoskeletal 75	2	16	2	2	16	16	16	16	16	16	2	2	2	2	2	2	2	2	2	2	2	2	19.2	2.2	2.2	59.56	551	551;551	0	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	19.2	19.2	19.2	19.2	19.2	19.2	60415000	8476100	3368500	659880	1043100	23847000	23021000	2083300	292280	116150	22755	35970	822300	793820	18004000	4238700	2234800	2787800	10610000	10475000	3	1	0	0	5	2	11			+	7	430;3255;5008;5009;5386;6168;9709;11565;14110;17796;18357;18358;21352;22144;22145;22161	False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False	437;3349;3350;5156;5157;5545;6349;9973;11855;14566;18375;18947;18948;22036;22846;22847;22863	2468;2469;2470;2471;2472;2473;19739;19740;19741;19742;19743;19744;19745;19746;19747;19748;19749;19750;19751;19752;30445;30446;30447;30448;30449;30450;30451;30452;30453;30454;30455;30456;30457;30458;30459;30460;30461;30462;32852;32853;32854;32855;32856;32857;37561;37562;37563;37564;37565;37566;59586;59587;59588;59589;59590;59591;59592;59593;59594;59595;59596;71230;71231;71232;71233;71234;71235;87410;87411;87412;87413;87414;87415;87416;87417;87418;87419;110509;110510;110511;110512;110513;110514;110515;110516;110517;110518;110519;110520;113963;113964;113965;113966;113967;113968;113969;113970;113971;113972;113973;113974;113975;132455;132456;132457;132458;132459;132460;132461;132462;132463;132464;132465;132466;137231;137232;137233;137234;137235;137236;137237;137238;137239;137240;137241;137242;137243;137244;137245;137246;137247;137248;137249;137250;137359;137360;137361;137362;137363;137364	2329;2330;2331;2332;2333;2334;2335;2336;18880;18881;18882;18883;18884;18885;18886;18887;18888;18889;18890;18891;29467;29468;29469;29470;29471;29472;29473;29474;29475;29476;29477;29478;29479;29480;29481;29482;29483;29484;29485;29486;29487;29488;29489;29490;29491;29492;29493;29494;29495;29496;29497;29498;29499;29500;29501;29502;29503;29504;29505;29506;29507;29508;29509;29510;29511;29512;29513;29514;29515;29516;29517;29518;29519;31879;31880;31881;31882;31883;31884;31885;31886;31887;31888;31889;31890;31891;31892;31893;31894;36323;36324;36325;58394;58395;58396;58397;58398;58399;58400;58401;58402;58403;58404;58405;69659;69660;69661;69662;85122;85123;85124;85125;85126;85127;85128;85129;85130;85131;85132;85133;107761;107762;107763;107764;107765;107766;107767;107768;107769;107770;107771;107772;107773;107774;107775;107776;107777;107778;111301;111302;111303;111304;111305;111306;111307;111308;111309;111310;111311;130224;130225;130226;130227;130228;130229;134819;134820;134821;134822;134823;134824;134825;134826;134827;134828;134829;134830;134831;134832;134833;134834;134835;134836;134837;134838;134839;134840;134841;134842;134843;134844;134845;134846;134847;134848;134849;134850;134851;134852;134853;134854;135027;135028;135029;135030;135031;135032;135033;135034;135035;135036;135037;135038;135039;135040;135041;135042;135043;135044;135045;135046;135047;135048;135049;135050;135051;135052;135053;135054	2329;18883;29475;29497;31886;36324;58396;69660;85130;107762;111307;111311;130229;134828;134832;135040	3	265
CON__P00735;sp|P00734|THRB_HUMAN	CON__P00735	6;1	6;1	6;1	>P00735 SWISS-PROT:P00735 (Bos taurus) Prothrombin precursor (Fragment)	2	6	6	6	6	5	5	6	5	5	6	5	5	6	5	5	6	5	5	6	5	5	9.4	9.4	9.4	70.505	625	625;622	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.4	8.2	8.2	9.4	8.8	8.2	116010000	27839000	25272000	11521000	15575000	22268000	13539000	3625500	869960	789740	360040	486730	695890	423100	28344000	18029000	12472000	15248000	17816000	10516000	10	7	4	6	6	5	38			+	8	4425;9452;11627;21623;22280;22563	True;True;True;True;True;True	4551;9713;11918;22314;22986;23278	26946;26947;26948;26949;26950;26951;26952;26953;26954;26955;26956;26957;57978;57979;57980;57981;57982;57983;57984;57985;57986;57987;71619;71620;71621;71622;71623;71624;134129;134130;134131;138189;138190;138191;138192;138193;138194;139958;139959;139960;139961;139962	25899;25900;25901;25902;25903;25904;25905;25906;25907;25908;25909;56965;56966;56967;70068;70069;70070;70071;70072;70073;70074;70075;131832;131833;136088;136089;136090;136091;136092;136093;136094;136095;136096;136097;136098;137995;137996;137997	25904;56965;70071;131833;136094;137996		
CON__P00761	CON__P00761	4	4	4	>P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	25.1	25.1	25.1	24.409	231	231	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25.1	25.1	25.1	25.1	25.1	25.1	36179000000	7880300000	5926900000	6458900000	5389500000	4557400000	5965600000	3289000000	716400000	538810000	587170000	489960000	414310000	542330000	6440800000	3952000000	7011600000	5687700000	3356200000	5819600000	47	44	55	64	46	55	311			+	9	8697;11071;12504;20036	True;True;True;True	8936;8937;11353;12817;20678	53332;53333;53334;53335;53336;53337;53338;53339;53340;53341;53342;53343;53344;53345;53346;53347;53348;53349;53350;53351;53352;53353;53354;53355;53356;53357;53358;53359;68147;68148;68149;68150;68151;68152;68153;68154;68155;68156;68157;68158;68159;68160;68161;68162;68163;68164;77107;77108;77109;77110;77111;77112;124252;124253;124254;124255;124256;124257;124258;124259;124260;124261;124262;124263;124264;124265;124266;124267;124268;124269;124270;124271;124272;124273;124274;124275;124276;124277;124278;124279;124280;124281;124282;124283;124284;124285;124286;124287;124288;124289;124290;124291;124292;124293;124294;124295;124296;124297;124298;124299;124300;124301;124302;124303	52082;52083;52084;52085;52086;52087;52088;52089;52090;52091;52092;52093;52094;52095;52096;52097;52098;52099;52100;52101;52102;52103;52104;52105;52106;52107;52108;52109;52110;52111;52112;52113;52114;52115;52116;66739;66740;66741;66742;66743;66744;66745;66746;66747;66748;66749;66750;66751;66752;66753;66754;66755;66756;66757;66758;66759;66760;66761;66762;66763;66764;66765;66766;66767;66768;66769;66770;66771;66772;66773;66774;66775;75485;75486;75487;75488;75489;75490;75491;75492;75493;75494;75495;75496;75497;75498;75499;75500;75501;75502;75503;75504;75505;75506;75507;75508;75509;75510;75511;75512;75513;75514;75515;75516;75517;75518;75519;75520;75521;75522;75523;75524;75525;75526;75527;75528;75529;75530;75531;75532;75533;75534;75535;75536;75537;121947;121948;121949;121950;121951;121952;121953;121954;121955;121956;121957;121958;121959;121960;121961;121962;121963;121964;121965;121966;121967;121968;121969;121970;121971;121972;121973;121974;121975;121976;121977;121978;121979;121980;121981;121982;121983;121984;121985;121986;121987;121988;121989;121990;121991;121992;121993;121994;121995;121996;121997;121998;121999;122000;122001;122002;122003;122004;122005;122006;122007;122008;122009;122010;122011;122012;122013;122014;122015;122016;122017;122018;122019;122020;122021;122022;122023;122024;122025;122026;122027;122028;122029;122030;122031;122032;122033;122034;122035;122036;122037;122038;122039;122040;122041;122042;122043;122044;122045;122046;122047;122048;122049;122050;122051;122052;122053;122054;122055;122056;122057;122058;122059;122060;122061;122062;122063;122064;122065;122066;122067;122068;122069;122070;122071;122072;122073;122074;122075;122076;122077;122078;122079;122080;122081;122082;122083;122084;122085;122086;122087;122088;122089;122090;122091;122092;122093;122094;122095;122096;122097;122098;122099;122100;122101;122102;122103;122104;122105;122106;122107;122108;122109;122110;122111;122112;122113;122114;122115;122116;122117;122118;122119;122120;122121;122122;122123;122124;122125;122126;122127;122128;122129;122130;122131;122132	52103;66744;75489;122053	4	94
